time_tag,Kp
2026-03-09 00:00:00,2.0
2026-03-09 03:00:00,1.67
2026-03-09 06:00:00,1.33
2026-03-09 09:00:00,1.67
2026-03-09 12:00:00,1.67
2026-03-09 15:00:00,1.67
2026-03-09 18:00:00,2.0
2026-03-09 21:00:00,2.67
2026-03-10 00:00:00,3.33
2026-03-10 03:00:00,2.67
2026-03-10 06:00:00,2.33
2026-03-10 09:00:00,3.0
2026-03-10 12:00:00,3.0
2026-03-10 15:00:00,3.67
2026-03-10 18:00:00,3.0
2026-03-10 21:00:00,1.67
2026-03-11 00:00:00,3.33
2026-03-11 03:00:00,3.67
2026-03-11 06:00:00,2.0
2026-03-11 09:00:00,1.33
2026-03-11 12:00:00,2.0
2026-03-11 15:00:00,0.33
2026-03-11 18:00:00,2.0
2026-03-11 21:00:00,1.33
2026-03-12 00:00:00,2.67
2026-03-12 03:00:00,2.33
2026-03-12 06:00:00,2.0
2026-03-12 09:00:00,1.33
2026-03-12 12:00:00,2.33
2026-03-12 15:00:00,2.33
2026-03-12 18:00:00,2.0
2026-03-12 21:00:00,1.33
2026-03-13 00:00:00,3.33
2026-03-13 03:00:00,4.0
2026-03-13 06:00:00,2.67
2026-03-13 09:00:00,4.67
2026-03-13 12:00:00,1.67
2026-03-13 15:00:00,2.67
2026-03-13 18:00:00,2.0
2026-03-13 21:00:00,5.67
2026-03-14 00:00:00,5.67
2026-03-14 03:00:00,6.0
2026-03-14 06:00:00,4.67
2026-03-14 09:00:00,4.0
2026-03-14 12:00:00,5.0
2026-03-14 15:00:00,3.67
2026-03-14 18:00:00,2.67
2026-03-14 21:00:00,3.67
2026-03-15 00:00:00,4.0
2026-03-15 03:00:00,2.0
2026-03-15 06:00:00,2.33
2026-03-15 09:00:00,3.67
2026-03-15 12:00:00,3.0
2026-03-15 15:00:00,2.67
2026-03-15 18:00:00,3.0
2026-03-15 21:00:00,4.0
2026-03-16 00:00:00,3.0
2026-03-16 03:00:00,3.0
2026-03-16 06:00:00,2.0
2026-03-16 09:00:00,2.0
